"","Tree","B_mean","G_mean","R_mean","RE_mean","NIR_mean","TIR_mean","B_median","G_median","R_median","RE_median","NIR_median","TIR_median","B_sd","G_sd","R_sd","RE_sd","NIR_sd","TIR_sd","B_min","G_min","R_min","RE_min","NIR_min","TIR_min","B_max","G_max","R_max","RE_max","NIR_max","TIR_max","date","image_name"
"47","Oak1",0.0162838921992208,0.0373405833262344,0.018330492231715,0.0956075119741885,0.268148362241876,27.6137776998039,0.0165157690644264,0.0379608832299709,0.0188276059925556,0.0982627421617508,0.279661983251572,27.6000003814697,0.00543652994595011,0.0126863576592524,0.0071404837489743,0.0363526372693256,0.0906076851939305,0.129041658778951,0.00415846472606063,0.0102909132838249,0.00302602956071496,0.015094505622983,0.0619942024350166,27.2299995422363,0.0319241657853127,0.0687220320105553,0.037815123796463,0.181763887405396,0.471487611532211,28.1900005340576,2024-08-20,"20240820_saillon_Ortho.tif"
"48","Oak2",0.0100863999564443,0.0253839091541629,0.0100046668685893,0.0676839525405823,0.203215926903866,27.3454125589795,0.00779527402482927,0.0194924538955092,0.0071009173989296,0.0502947922796011,0.16655770689249,27.3099994659424,0.00559562580116579,0.0139108883973293,0.00686942219397296,0.0399871499724598,0.0888348995113465,0.311631477936144,0.00244979420676827,0.00643691746518016,0.00125756161287427,0.0145652890205383,0.0651645064353943,26.6000003814697,0.0271558444947004,0.0651077404618263,0.0381906926631927,0.18822056055069,0.44926705956459,27.8999996185303,2024-08-20,"20240820_saillon_Ortho.tif"
"49","Beech1",0.0148391211571219,0.0393995356554788,0.0153744833453518,0.122844256769427,0.395178778172284,30.3616534506763,0.0148953255265951,0.0403129309415817,0.0154480300843716,0.125816881656647,0.400980085134506,30.4699993133545,0.00463653921624194,0.0112420698702614,0.00567348085448825,0.0346652637747272,0.0731498255798284,0.394215078528463,0.00378958997316658,0.0116274384781718,0.00269065028987825,0.0294991582632065,0.140423938632011,29.4599990844727,0.0294808391481638,0.0771250203251839,0.0336734876036644,0.215170323848724,0.580398797988892,31.0699996948242,2024-08-28,"20240828_saillon_Ortho.tif"
"50","Beech2",0.0167947838146632,0.0509396620555536,0.0189913269818205,0.138490417854893,0.3289631511454,28.7578245002345,0.0173269705846906,0.053617874160409,0.0192326661199331,0.147360615432262,0.351649656891823,28.9899959564209,0.00539077307034439,0.0173878755183289,0.00682576774237857,0.0484380354462656,0.0973466533003643,0.551601784803632,0.00238330173306167,0.00515509629622102,0.00188499258365482,0.0110400598496199,0.0453315898776054,27.8600025177002,0.0334565378725529,0.0981175526976585,0.0441766045987606,0.254010766744614,0.537731885910034,29.8399887084961,2024-08-28,"20240828_saillon_Ortho.tif"
"51","Oak1",0.0203115327883279,0.0469233118960013,0.0222386529102611,0.122406280565386,0.352697577895597,28.3823541609446,0.0210801484063268,0.0496433023363352,0.0228210613131523,0.13119762390852,0.37559050321579,28.3400001525879,0.00641485573738887,0.015069954862782,0.0082243823335375,0.0410597792372918,0.0990241446765425,0.168323381488456,0.00547186611220241,0.0122901275753975,0.00476414896547794,0.0309669710695744,0.110045917332172,28.0900020599365,0.0414812453091145,0.0819312855601311,0.0500166267156601,0.216194838285446,0.534075438976288,29.3399906158447,2024-08-28,"20240828_saillon_Ortho.tif"
"52","Oak2",0.0181013144980915,0.0458388861601188,0.018794069412489,0.123904919643857,0.337382781074471,28.2657943365334,0.0186092797666788,0.0471422411501408,0.0189392156898975,0.128766849637032,0.348890125751495,28.2700004577637,0.00578720886723184,0.0144560950436539,0.00769907619727081,0.0406511025240913,0.0858479700655363,0.123769916827005,0.00534202856943011,0.0133116040378809,0.00386154185980558,0.0279714018106461,0.0910654962062836,27.980001449585,0.0339991562068462,0.0793597102165222,0.0795671045780182,0.227433055639267,0.534030199050903,28.6199970245361,2024-08-28,"20240828_saillon_Ortho.tif"
"53","Beech1",0.0100873219889912,0.0267786214329606,0.0106907484547368,0.084970540162556,0.264816910949897,28.2418041377165,0.00888352934271097,0.0223720064386725,0.00902216881513596,0.0691518783569336,0.220159195363522,28.0599994659424,0.00569515761364017,0.0162768118441617,0.00691540789392476,0.0556788020255591,0.140945776192078,0.53896596830456,0.00201863492839038,0.00575214438140392,0.0012536778813228,0.0191254168748856,0.0855515971779823,27.6499996185303,0.032525572925806,0.0865351185202599,0.0430442355573177,0.287380963563919,0.756576359272003,29.4300003051758,2024-09-03,"20240903_saillon_Ortho.tif"
"54","Beech2",0.0156640095959344,0.0468726938654161,0.018344391843182,0.132832077507405,0.310238386178533,25.8608599991826,0.0152511168271303,0.0461025163531303,0.0176983643323183,0.134070321917534,0.318985939025879,26.2900009155273,0.00532712759282764,0.0172797983026798,0.00722971401621166,0.0493539679942661,0.0927609876173507,0.738629073800292,0.00193486898206174,0.00418505119159818,0.00189463107381016,0.00994666386395693,0.0367181934416294,24.4099998474121,0.0379800647497177,0.104309119284153,0.0462594106793404,0.263841599225998,0.56972461938858,26.9099979400635,2024-09-03,"20240903_saillon_Ortho.tif"
"55","Oak1",0.0191650823443585,0.0437334621693784,0.0216309317090781,0.119399528486344,0.331312429200237,29.7214708073934,0.0193941537290812,0.0443531945347786,0.0216790586709976,0.122866362333298,0.345945879817009,29.7900009155273,0.00611904135799196,0.0146982284458239,0.00753646436857163,0.042415216644282,0.101491998199319,0.246214548707709,0.00629212288185954,0.0149184009060264,0.00653595710173249,0.0333392545580864,0.107130102813244,29.2299995422363,0.0379969924688339,0.0774344354867935,0.0427340641617775,0.219376012682915,0.551525354385376,31.2899951934814,2024-09-03,"20240903_saillon_Ortho.tif"
"56","Oak2",0.0118746280788409,0.0290455962140172,0.0123416962355355,0.0772663914800287,0.217733864888865,29.5509498527323,0.0111975301988423,0.0276432884857059,0.0112998466938734,0.0728798508644104,0.210583552718163,29.5100002288818,0.0041119683064106,0.0103809873096985,0.00510379619952998,0.0294605095152002,0.063514264676584,0.638053222273185,0.00337649369612336,0.00934745371341705,0.00283281225711107,0.0181583538651466,0.0539384819567204,28.7399997711182,0.0268654879182577,0.0720292329788208,0.0440027937293053,0.218410402536392,0.477053821086884,31.7800006866455,2024-09-03,"20240903_saillon_Ortho.tif"
"57","Beech1",0.0120402348255145,0.0340829410034386,0.0134588376746343,0.109818991199167,0.346653733416455,17.4417492534061,0.0119032589718699,0.0344595089554787,0.0133924838155508,0.111042536795139,0.358384668827057,17.3799991607666,0.00384190799947334,0.0107815605923112,0.00473232577204408,0.032079009355757,0.0701375686002973,0.277583610545121,0.00215316982939839,0.00853948853909969,0.00321088521741331,0.0298882350325584,0.124753497540951,17.1100006103516,0.0276797469705343,0.0803629383444786,0.0408461950719357,0.211558908224106,0.499148011207581,18.6199760437012,2024-09-13,"20240913_saillon_Ortho.tif"
"58","Beech2",0.0132321929346705,0.0413140026261017,0.0160335395864227,0.120152554065643,0.268389125943445,17.7453472512228,0.0132971038110554,0.0417617298662663,0.0158991049975157,0.124059252440929,0.279062792658806,18.3199996948242,0.00394517252120851,0.013424101300917,0.00542893482048545,0.0392872063433878,0.0694995511086749,0.898885109670336,0.00191305531188846,0.00466581899672747,0.00233289692550898,0.00869084615260363,0.0413044095039368,15.8400058746338,0.0265386532992125,0.0782100036740303,0.0345598012208939,0.220282420516014,0.426863431930542,18.8499889373779,2024-09-13,"20240913_saillon_Ortho.tif"
